Team,Year,Wins,Losses,Win(%),Goals For,Goals Away,Goal Difference
Minnesota Wild,2009,38,36,0.5,219,246,11
Montreal Canadiens,2009,39,33,0.61,217,223,23
Nashville Predators,2009,47,29,0.573,225,225,20
New Jersey Devils,2009,48,27,0.622,222,191,49
New York Islanders,2009,34,37,0.598,222,264,2
New York Rangers,2009,38,33,0.659,222,218,50
Ottawa Senators,2009,44,32,0.573,225,238,85
Philadelphia Flyers,2009,41,35,0.561,236,225,4
Buffalo Sabres,2010,43,29,0.524,245,229,16
Calgary Flames,2010,41,29,0.5,250,237,13
Carolina Hurricanes,2010,40,31,0.537,236,239,33
Columbus Blue Jackets,2010,34,35,0.512,215,258,20
Chicago Blackhawks,2010,44,29,0.573,258,225,21
Colorado Avalanche,2010,30,44,0.561,227,288,7
Dallas Stars,2010,42,29,0.537,227,233,25
Detroit Red Wings,2010,47,25,0.537,261,241,35
Edmonton Oilers,2010,25,45,0.537,193,269,36
Florida Panthers,2010,30,40,0.573,195,229,5
Los Angeles Kings,2010,46,30,0.524,219,198,39
Minnesota Wild,2010,39,35,0.598,206,233,35
Montreal Canadiens,2010,44,30,0.585,216,209,6
Nashville Predators,2010,44,27,0.561,219,194,7
Vancouver Canucks,2010,54,19,0.659,262,185,77
Washington Capitals,2010,48,23,0.585,224,197,27
Anaheim Ducks,2011,34,36,0.598,204,231,67
Boston Bruins,2011,49,29,0.549,269,202,10
Buffalo Sabres,2011,39,32,0.5,218,230,45
Calgary Flames,2011,37,29,0.512,202,226,15
Carolina Hurricanes,2011,33,33,0.585,213,243,27
Columbus Blue Jackets,2011,29,46,0.585,202,262,19
Chicago Blackhawks,2011,45,26,0.585,248,238,39
Colorado Avalanche,2011,41,35,0.622,208,220,9
Dallas Stars,2011,42,35,0.5,211,222,32
Detroit Red Wings,2011,48,28,0.573,248,203,12
Edmonton Oilers,2011,32,40,0.512,212,239,61
San Jose Sharks,2011,43,29,0.524,228,210,18
St. Louis Blues,2011,49,22,0.598,210,165,45
Tampa Bay Lightning,2011,38,36,0.622,235,281,51
